종목코드,외국인순매수,기관순매수,외인당일,기관당일,외인20일,기관20일
005930,-29077,1708,-6287.4,12225.9,-158572.7,39662.8
000660,-88661,28803,-2981.2,24890.1,-151741.2,50061.8
352820,53,-119,-17.6,-49.5,715.9,-97.7
178920,24,-11,7.0,-6.1,151.0,-80.4
036570,88,75,101.5,19.3,35.9,292.1
108320,-5,-3,-4.1,-3.3,78.7,-248.9
064260,31,0,5.6,-0.0,81.1,3.5
189300,153,-34,25.5,-6.6,436.6,-329.3
376300,4,0,1.5,-1.9,18.8,-9.6
462870,19,30,-8.7,0.3,-4.8,109.2
336260,231,9,1.9,17.0,-380.3,264.4
138930,-77,50,18.8,-29.0,-587.2,759.6
000250,276,99,51.7,-22.9,489.5,31.2
002310,1,7,-1.2,1.7,2.4,21.4
361610,4,-21,-9.7,-2.9,-9.9,-26.3
133690,,,,,,
396500,,,,,,
0167A0,,,,,,
485540,,,,,,
469150,,,,,,
0173Y0,,,,,,
487240,,,,,,
487230,,,,,,
469070,,,,,,
421320,,,,,,
462010,,,,,,
138540,,,,,,
0190C0,,,,,,
0025N0,,,,,,
411060,,,,,,
009150,-1491,2372,-1243.6,-24.3,20480.1,-12889.5
011070,1121,-1443,21.8,-216.6,-8355.8,219.2
001820,-221,-60,-159.0,12.8,325.6,-185.3
222800,-396,768,-84.1,201.9,-1163.0,1546.3
195870,127,-122,-13.0,1.3,212.6,-496.0
353200,1377,-839,401.7,-326.2,-109.2,233.0
007660,339,246,141.4,-15.7,-221.7,858.8
007810,257,-513,28.4,-41.6,-184.2,469.7
000150,1108,-496,79.5,-118.4,4137.5,-4873.1
042700,2368,-8372,94.7,-655.7,1915.0,-8161.7
067310,34,116,-51.4,-40.9,-200.5,319.1
033640,57,-101,48.7,-46.1,31.8,-49.0
036540,10,8,5.6,-3.6,72.2,-87.5
089030,-200,62,-90.6,-5.9,697.0,257.6
131970,471,-250,62.9,-74.3,306.9,183.9
005290,-123,90,-55.2,-34.4,-25.9,-52.3
101490,34,4,8.2,-5.0,498.9,-691.2
357780,545,-682,43.1,-41.6,518.4,-660.5
036930,253,-102,397.5,-190.0,-1507.4,-2037.4
240810,-178,519,-157.7,-24.9,-793.6,2020.2
084370,-69,115,-11.4,-32.1,366.1,167.9
265520,0,0,0.5,-0.6,1.9,22.7
403870,192,-970,-84.6,-114.4,-1949.5,2671.1
000990,-205,1152,-103.4,160.5,-868.4,1699.7
440110,600,-415,-16.9,-23.3,3197.9,-2036.3
080220,-1466,177,-257.2,-87.9,-2206.5,385.2
298040,545,-416,54.8,-479.2,40.0,-193.6
267260,508,-578,56.5,-41.2,-3763.2,3344.7
034020,540,-407,-171.1,-291.7,-4462.5,-1343.2
322000,123,52,-16.5,33.6,88.1,74.7
010120,-99,-116,-61.4,-82.6,2956.5,-4023.4
062040,323,-53,108.3,-50.7,64.4,9.7
079550,-10,-58,-177.3,87.2,2731.2,554.4
099320,90,13,25.5,-16.4,70.2,286.7
012450,55,172,-37.5,-78.3,1308.4,-883.6
047810,-265,575,-31.0,45.2,-927.3,1510.9
211270,14,-2,-0.1,-0.0,-10.1,-11.4
462350,5,-70,-4.1,-0.8,33.5,-156.1
001430,169,-71,22.6,-12.6,436.6,-272.6
347700,256,-67,34.2,-13.4,-30.5,-288.5
005380,-3642,-2352,-695.8,-228.7,-17470.4,-8389.3
012330,1075,-1548,226.1,-153.0,-13112.3,1899.6
086280,438,-350,79.0,-28.9,39.8,-553.0
011210,108,-152,10.0,-7.1,282.6,-175.4
064350,602,-544,-42.1,-173.0,3460.0,-1356.2
307950,678,-332,103.8,-23.1,267.0,-733.8
204320,-166,-325,-30.9,-46.0,497.0,156.0
018880,-602,-56,-41.1,-6.4,124.4,47.6
005850,39,-82,24.0,-38.5,240.0,-71.8
010690,-4,-23,-13.1,5.8,-36.3,-110.9
003690,63,-57,12.2,-8.0,431.7,-404.4
267250,446,-375,42.7,-56.2,1458.6,-1073.8
402340,-29781,2778,-2611.7,342.6,-42468.2,21244.6
017670,917,-350,5.9,33.9,-3889.5,-896.6
005490,553,-1018,44.8,-179.1,2042.1,-3098.6
373220,951,-1285,179.8,-442.8,3651.4,-596.1
006400,-79,-637,-206.4,141.1,1604.1,-2532.2
086520,397,20,18.8,-106.2,175.0,-385.6
247540,117,-282,47.3,-117.0,-653.2,-1012.1
066970,475,-425,198.6,-170.3,517.8,-1176.9
277810,18,-160,-4.5,-8.6,-1149.5,-202.6
454910,87,15,-23.6,-3.8,280.8,-1870.2
108490,-231,-211,-19.4,33.2,272.3,346.6
090360,34,20,-23.8,-2.9,78.8,349.4
058610,227,-25,14.9,-13.9,255.4,-134.8
035420,-27,-635,94.0,-46.5,-6754.3,8957.6
035720,-174,-324,92.7,-43.0,-1263.5,-737.0
278470,163,106,-21.9,46.7,-538.0,462.7
003230,50,384,-1.4,117.3,238.9,-390.1
004370,-56,-42,3.0,-11.0,-21.7,-37.1
003490,649,341,217.9,343.1,2315.0,1280.0
196170,492,996,124.1,222.8,660.9,1790.1
226950,-54,389,-123.4,144.9,-205.4,277.3
